family,condition,token_type,n,mean,std,min,p1,p5,p10,median,max,frac_below_0_1,frac_below_0_5,frac_below_0_9,frac_below_0_99
hotpotqa,error_recovery,reasoning,13024,0.9834238907346201,0.06897948207198273,0.3049697055456108,0.5894869508205042,0.8939483490032747,0.9905159663238031,1.0,1.0,0.0,0.002840909090909091,0.05082923832923833,0.09912469287469287
hotpotqa,error_recovery,response,304,0.9989441367501635,0.015522908210182703,0.7306265017499801,0.9914867891314301,0.9999961853286549,1.0,1.0,1.0,0.0,0.0,0.003289473684210526,0.006578947368421052
hotpotqa,error_recovery,tool_call,1420,0.9959707512849558,0.030800778462767308,0.5562051484596863,0.8202665756459594,0.9997982557347159,0.9999996423723019,1.0,1.0,0.0,0.0,0.013380281690140845,0.027464788732394368
hotpotqa,multi_step,reasoning,18317,0.9813169429636863,0.0715479964481841,0.27299288817210493,0.5901658778409944,0.8575623408007151,0.9808353740469755,1.0,1.0,0.0,0.002238357809684992,0.059289184910192715,0.11262761369219851
hotpotqa,multi_step,response,753,0.9939212446057661,0.04449393279937786,0.4999998199681985,0.744151453666524,0.9997730781289228,0.9999997615814991,1.0,1.0,0.0,0.0013280212483399733,0.01593625498007968,0.029216467463479414
hotpotqa,multi_step,tool_call,1973,0.9977159679634493,0.02470658816252898,0.49842257170313686,0.9545322937569112,0.9999960661089133,1.0,1.0,1.0,0.0,0.0005068423720223011,0.007095793208312215,0.015712113532691332
hotpotqa,simple,reasoning,13122,0.9847114139162501,0.06706408349865976,0.2682666767730379,0.5819242833770097,0.9112771755749123,0.9956772189673647,1.0,1.0,0.0,0.0026672763298277702,0.046867855509830816,0.08763907940862674
hotpotqa,simple,response,864,0.9945809507616677,0.03967462039717993,0.38351425495106894,0.797912431326932,0.9968278043812585,0.9999723442092404,1.0,1.0,0.0,0.0011574074074074073,0.015046296296296295,0.03819444444444445
hotpotqa,simple,tool_call,1695,0.9983454567482924,0.02120951287358323,0.5508716418369819,0.9968474140450339,0.9999996423722521,1.0,1.0,1.0,0.0,0.0,0.0058997050147492625,0.010029498525073746
mbpp,long_context,reasoning,19567,0.9702910560036218,0.0861197487841477,0.32491254456894486,0.563567912632069,0.769665636264249,0.9031301305479901,1.0,1.0,0.0,0.0038329841058925744,0.0981243931108499,0.18888945673838606
mbpp,long_context,response,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
mbpp,long_context,tool_call,224,0.9997930301958158,0.002242957327183597,0.9711073539896824,0.9999038074011883,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.008928571428571428
mbpp,multi_step,reasoning,31928,0.9697324103736767,0.08823118546352263,0.30417653623507207,0.5538999037673092,0.768989726191215,0.9013528342120598,1.0,1.0,0.0,0.004917313956401904,0.09925457278877474,0.18861187672262592
mbpp,multi_step,response,287,0.9889257824607759,0.05675984631996936,0.4157229006250844,0.7236540081855537,0.9421530160736152,0.9998871227563683,1.0,1.0,0.0,0.003484320557491289,0.03484320557491289,0.07317073170731707
mbpp,multi_step,tool_call,1009,0.9994848103727809,0.01099180656164844,0.6622583711569253,0.9994462224562048,1.0,1.0,1.0,1.0,0.0,0.0,0.0009910802775024777,0.005946481665014866
mbpp,simple,reasoning,32869,0.9650522241876657,0.09200418782552311,0.18456718656523446,0.556225713953393,0.7424570138199862,0.8737664106417404,1.0,1.0,0.0,0.004928656180595698,0.11500197754723296,0.22629225105722717
mbpp,simple,response,18,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
mbpp,simple,tool_call,534,0.9980949859531318,0.022832107821858228,0.6242687270833346,0.9666076051900049,1.0,1.0,1.0,1.0,0.0,0.0,0.0056179775280898875,0.011235955056179775
mocks,error_recovery,reasoning,338,0.991277312560919,0.04311848894103551,0.6191251525706465,0.735246297746057,0.9526271993151506,0.9987351577328427,1.0,1.0,0.0,0.0,0.029585798816568046,0.06804733727810651
mocks,error_recovery,response,18,0.9994200126710453,0.002391291194441253,0.989560466497317,0.989560466497317,0.9999997615814991,1.0,1.0,1.0,0.0,0.0,0.0,0.05555555555555555
mocks,error_recovery,tool_call,40,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
mocks,multi_step,reasoning,275,0.9898223743632254,0.053940199936760795,0.5305975158714541,0.6313386933437919,0.9585383210107024,0.999216439882776,1.0,1.0,0.0,0.0,0.02909090909090909,0.06909090909090909
mocks,multi_step,response,35,0.9994393538174277,0.00299937732644793,0.9820039865266303,0.9820039865266303,0.9997958362277815,0.9999827150302304,1.0,1.0,0.0,0.0,0.0,0.02857142857142857
mocks,multi_step,tool_call,102,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
mocks,simple,reasoning,243,0.993283516834167,0.038271277873304775,0.6797980742091412,0.7794273253905835,0.9967075802571029,0.9999495818970154,1.0,1.0,0.0,0.0,0.024691358024691357,0.037037037037037035
mocks,simple,response,18,0.9998633735217096,0.000563296489416119,0.9975408426000267,0.9975408426000267,0.999999880790746,1.0,1.0,1.0,0.0,0.0,0.0,0.0
mocks,simple,tool_call,19,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
